motif	motif.name
MA0528.2	MA0528.2	ZNF263
MA1631.1	MA1631.1	ASCL1(var.2)
MA0130.1	MA0130.1	ZNF354C
MA0103.3	MA0103.3	ZEB1
MA0073.1	MA0073.1	RREB1
MA1600.1	MA1600.1	ZNF684
MA1558.1	MA1558.1	SNAI1
MA0830.2	MA0830.2	TCF4
MA0154.4	MA0154.4	EBF1
MA1116.1	MA1116.1	RBPJ
MA1528.1	MA1528.1	NFIX(var.2)
MA1652.1	MA1652.1	ZKSCAN5
MA0513.1	MA0513.1	SMAD2::SMAD3::SMAD4
MA1648.1	MA1648.1	TCF12(var.2)
MA1599.1	MA1599.1	ZNF682
MA1596.1	MA1596.1	ZNF460
MA1581.1	MA1581.1	ZBTB6
MA0597.1	MA0597.1	THAP1
MA0144.2	MA0144.2	STAT3
MA1643.1	MA1643.1	NFIB
MA0149.1	MA0149.1	EWSR1-FLI1
MA0522.3	MA0522.3	TCF3
MA0039.4	MA0039.4	KLF4
MA0119.1	MA0119.1	NFIC::TLX1
MA1635.1	MA1635.1	BHLHE22(var.2)
MA1107.2	MA1107.2	KLF9
MA1576.1	MA1576.1	THRB(var.3)
MA0046.2	MA0046.2	HNF1A
MA1654.1	MA1654.1	ZNF16
MA1637.1	MA1637.1	EBF3
MA0048.2	MA0048.2	NHLH1
MA0138.2	MA0138.2	REST
MA1121.1	MA1121.1	TEAD2
MA1559.1	MA1559.1	SNAI3
MA0090.3	MA0090.3	TEAD1
MA1522.1	MA1522.1	MAZ
MA0052.4	MA0052.4	MEF2A
MA0596.1	MA0596.1	SREBF2
MA0810.1	MA0810.1	TFAP2A(var.2)
MA0814.2	MA0814.2	TFAP2C(var.2)
MA1529.1	MA1529.1	NHLH2
MA0155.1	MA0155.1	INSM1
MA1527.1	MA1527.1	NFIC(var.2)
MA0114.4	MA0114.4	HNF4A
MA1653.1	MA1653.1	ZNF148
MA1108.2	MA1108.2	MXI1
MA1597.1	MA1597.1	ZNF528
MA0471.2	MA0471.2	E2F6
MA0258.2	MA0258.2	ESR2
MA0741.1	MA0741.1	KLF16
MA1601.1	MA1601.1	ZNF75D
MA1100.2	MA1100.2	ASCL1
MA0153.2	MA0153.2	HNF1B
MA0484.2	MA0484.2	HNF4G
MA1587.1	MA1587.1	ZNF135
MA0504.1	MA0504.1	NR2C2
MA0599.1	MA0599.1	KLF5
MA1656.1	MA1656.1	ZNF449
MA0747.1	MA0747.1	SP8
MA0137.3	MA0137.3	STAT1
MA1114.1	MA1114.1	PBX3
MA0017.2	MA0017.2	NR2F1
MA0753.2	MA0753.2	ZNF740
MA0160.1	MA0160.1	NR4A2
MA0809.2	MA0809.2	TEAD4
MA1512.1	MA1512.1	KLF11
MA1515.1	MA1515.1	KLF2
MA0745.2	MA0745.2	SNAI2
MA1491.1	MA1491.1	GLI3
MA1152.1	MA1152.1	SOX15
MA1511.1	MA1511.1	KLF10
MA0497.1	MA0497.1	MEF2C
MA0003.4	MA0003.4	TFAP2A
MA0496.3	MA0496.3	MAFK
MA0734.2	MA0734.2	GLI2
MA1148.1	MA1148.1	PPARA::RXRA
MA1540.1	MA1540.1	NR5A1
MA1550.1	MA1550.1	PPARD
MA0696.1	MA0696.1	ZIC1
MA0746.2	MA0746.2	SP3
MA0163.1	MA0163.1	PLAG1
MA0856.1	MA0856.1	RXRG
MA1565.1	MA1565.1	TBX18
MA0161.2	MA0161.2	NFIC
MA1592.1	MA1592.1	ZNF274
MA0524.2	MA0524.2	TFAP2C
MA0592.3	MA0592.3	ESRRA
MA0660.1	MA0660.1	MEF2B
MA1633.1	MA1633.1	BACH1
MA1102.2	MA1102.2	CTCFL
MA0671.1	MA0671.1	NFIX
MA0773.1	MA0773.1	MEF2D
MA0101.1	MA0101.1	REL
MA1537.1	MA1537.1	NR2F1(var.2)
MA0743.2	MA0743.2	SCRT1
MA1485.1	MA1485.1	FERD3L
MA1125.1	MA1125.1	ZNF384
MA0901.2	MA0901.2	HOXB13
MA0489.1	MA0489.1	JUN(var.2)
MA0442.2	MA0442.2	SOX10
MA0595.1	MA0595.1	SREBF1
MA1593.1	MA1593.1	ZNF317
MA0771.1	MA0771.1	HSF4
MA0499.2	MA0499.2	MYOD1
MA0855.1	MA0855.1	RXRB
MA0812.1	MA0812.1	TFAP2B(var.2)
MA0782.2	MA0782.2	PKNOX1
MA1649.1	MA1649.1	ZBTB12
MA0811.1	MA0811.1	TFAP2B
MA1645.1	MA1645.1	NKX2-2
MA0697.1	MA0697.1	ZIC3
MA0050.2	MA0050.2	IRF1
